step,total_agents,evacuated,moving,blocked,panic,avg_stress,evacuation_rate
491,25,1,0,24,0,0.0,0.04
492,25,1,0,24,0,0.0,0.04
493,25,1,0,24,0,0.0,0.04
494,25,1,0,24,0,0.0,0.04
495,25,1,0,24,0,0.0,0.04
496,25,1,0,24,0,0.0,0.04
497,25,1,0,24,0,0.0,0.04
498,25,1,0,24,0,0.0,0.04
499,25,1,0,24,0,0.0,0.04
500,25,1,0,24,0,0.0,0.04
